ventana,n_train,n_test,MAE_estructural,MAE_sin_plazo,MAE_principal
2021-12-28 -> 2022-06-28,9786,802,15.281406520709611,10.729579972554891,2.371548416798126
2022-06-28 -> 2022-12-28,10588,785,14.873947624485044,11.743969079544428,4.359988942730538
2022-12-28 -> 2023-06-28,11373,794,14.796081928982659,11.431183134970706,2.458004000554333
2023-06-28 -> 2023-12-28,12167,876,15.204637974234895,10.792104900104635,4.481977060011156
2023-12-28 -> 2024-06-28,13043,753,15.06120378701346,11.401448710929412,4.039568800342609
